id,event_type,event_cause,priority,corridor,zone,target_clearance_duration_mins,extracted_severity,vehicle_class,action_agency,osm_edge_u,osm_edge_v,road_highway_type,road_lanes,road_maxspeed
FKID000004,unplanned,vehicle_breakdown,Low,Non-corridor,,38.74983805,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,428457143,12110804692,primary,2,40.0
FKID000018,unplanned,tree_fall,Low,Non-corridor,,293.3450075,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,304275566,304275611,tertiary,1,40.0
FKID000020,unplanned,vehicle_breakdown,High,Hosur Road,,27.2487523,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,7478115627,10081538804,tertiary,2,40.0
FKID000025,unplanned,tree_fall,Low,Non-corridor,,843.3240253,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,2227865094,459820578,secondary,2,40.0
FKID000028,unplanned,pot_holes,Low,,,9.079776783333333,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,1355297535,256093228,tertiary,1,40.0
FKID000041,unplanned,others,High,Bellary Road 1,,106.41915116666668,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,12099921861,1989699986,tertiary,1,40.0
FKID000047,unplanned,others,High,Tumkur Road,,133.52983253333335,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,463429374,11886201284,secondary,1,40.0
FKID000049,unplanned,vehicle_breakdown,High,ORR East 1,,55.541728516666666,NORMAL_OBSTRUCTION,BMTC_BUS,TRAFFIC_POLICE,12009305215,264129270,primary,3,50.0
FKID000053,unplanned,vehicle_breakdown,High,Bellary Road 1,,69.32987603333332,PARTIAL_BLOCK,OTHER,TRAFFIC_POLICE,1436067882,12099941385,primary,5,40.0
FKID000055,unplanned,road_conditions,Low,Non-corridor,,61.27697078333333,UNKNOWN,UNKNOWN,TRAFFIC_POLICE,10719511590,7137902395,residential,1,40.0
FKID000057,unplanned,vehicle_breakdown,Low,Non-corridor,,36.41233746666667,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,11197323405,11197323412,primary_link,1,40.0
FKID000063,unplanned,vehicle_breakdown,Low,Non-corridor,,83.22766023333334,NORMAL_OBSTRUCTION,BMTC_BUS,TRAFFIC_POLICE,13830433708,10081147914,primary,1,40.0
FKID000066,unplanned,tree_fall,Low,Non-corridor,,321.23818236666665,NORMAL_OBSTRUCTION,OTHER,BBMP,493556456,12152946472,tertiary,1,40.0
FKID000069,unplanned,vehicle_breakdown,High,West of Chord Road,,44.18835605,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,1837378460,249084482,primary,1,40.0
FKID000070,unplanned,vehicle_breakdown,High,West of Chord Road,,41.797760616666665,UNKNOWN,UNKNOWN,TRAFFIC_POLICE,1837378460,249084482,primary,1,40.0
FKID000071,unplanned,vehicle_breakdown,Low,Non-corridor,,26.158530816666666,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,13685157113,456181343,tertiary,1,40.0
FKID000080,unplanned,others,Low,Non-corridor,,15.88912515,NORMAL_OBSTRUCTION,BMTC_BUS,TRAFFIC_POLICE,10063095552,10063095551,residential,1,40.0
FKID000081,unplanned,tree_fall,Low,Non-corridor,,116.8119772,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,2334345353,1837634274,secondary,2,40.0
FKID000086,unplanned,vehicle_breakdown,Low,Non-corridor,,83.47854003333333,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,10148771374,10148771375,motorway_link,1,40.0
FKID000087,unplanned,vehicle_breakdown,High,Mysore Road,,52.75157615,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,263155261,12462507904,primary,3,30.0
FKID000088,unplanned,vehicle_breakdown,High,ORR North 1,,74.82553706666666,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,335652651,9586137594,tertiary,2,40.0
FKID000093,unplanned,vehicle_breakdown,High,Mysore Road,,47.68990556666667,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,699684302,1780334125,trunk,1,40.0
FKID000095,unplanned,tree_fall,Low,Non-corridor,,8.620181266666666,NORMAL_OBSTRUCTION,OTHER,BBMP,11849948564,430043670,primary,2,40.0
FKID000107,unplanned,vehicle_breakdown,High,ORR West 1,,141.02791743333333,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,249072291,1466497856,trunk,2,60.0
FKID000113,unplanned,construction,High,Bellary Road 1,,545.3734030166667,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,582567093,582567090,tertiary,1,30.0
FKID000122,unplanned,tree_fall,Low,Non-corridor,,61.79462865,NORMAL_OBSTRUCTION,OTHER,BBMP,2220570432,248838867,residential,1,40.0
FKID000123,unplanned,vehicle_breakdown,High,Mysore Road,,102.3569732,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,249083738,12167355977,trunk,2,40.0
FKID000131,unplanned,vehicle_breakdown,High,Bellary Road 2,,102.53794968333334,NORMAL_OBSTRUCTION,BMTC_BUS,TRAFFIC_POLICE,3736935191,12506380472,trunk,3,80.0
FKID000132,unplanned,vehicle_breakdown,High,Magadi Road,,106.48373361666667,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,1588411085,10841401110,primary,1,40.0
FKID000134,unplanned,vehicle_breakdown,High,Hosur Road,,75.3592525,NORMAL_OBSTRUCTION,HEAVY_GOODS,TRAFFIC_POLICE,1617743335,11964440742,primary,2,60.0
FKID000138,unplanned,pot_holes,Low,Non-corridor,,365.2268505833334,PARTIAL_BLOCK,OTHER,TRAFFIC_POLICE,13374163053,570496111,tertiary,1,40.0
FKID000142,unplanned,water_logging,High,ORR East 1,,49.972616783333336,NORMAL_OBSTRUCTION,OTHER,BBMP,10969136194,9846394225,tertiary,2,40.0
FKID000143,unplanned,vehicle_breakdown,High,Mysore Road,,111.6212591,NORMAL_OBSTRUCTION,BMTC_BUS,TRAFFIC_POLICE,663311696,10044013422,primary,4,40.0
FKID000157,unplanned,vehicle_breakdown,High,Hosur Road,,52.83199456666667,NORMAL_OBSTRUCTION,OTHER,TRAFFIC_POLICE,7478079930,6136172561,tertiary,1,40.0
